call_id,ticker,date,beforeAfterMarket,id
1785094,D,2019-07-31,BeforeMarket,D_2019_Q2_20190731
1786224,EQIX,2019-07-31,AfterMarket,EQIX_2019_Q2_20190731
1786908,VZ,2019-08-01,BeforeMarket,VZ_2019_Q2_20190801
1786936,SPGI,2019-08-01,BeforeMarket,SPGI_2019_Q2_20190801
1787509,XEL,2019-08-01,BeforeMarket,XEL_2019_Q2_20190801
1788924,MPC,2019-08-01,BeforeMarket,MPC_2019_Q2_20190801
1789475,XOM,2019-08-02,BeforeMarket,XOM_2019_Q2_20190802
1792562,DUK,2019-08-06,BeforeMarket,DUK_2019_Q2_20190806
1831476,PG,2019-10-22,BeforeMarket,PG_2020_Q1_20191022
1832800,JPM,2019-10-15,BeforeMarket,JPM_2019_Q3_20191015
1832894,GS,2019-10-15,BeforeMarket,GS_2019_Q3_20191015
1833216,BAC,2019-10-16,BeforeMarket,BAC_2019_Q3_20191016
1833773,PM,2019-10-17,BeforeMarket,PM_2019_Q3_20191017
1833877,CCI,2019-10-17,AfterMarket,CCI_2019_Q3_20191017
1833988,UNP,2019-10-17,BeforeMarket,UNP_2019_Q3_20191017
1834035,PPG,2019-10-17,BeforeMarket,PPG_2019_Q3_20191017
1836859,LLY,2019-10-23,BeforeMarket,LLY_2019_Q3_20191023
1836939,CAT,2019-10-23,BeforeMarket,CAT_2019_Q3_20191023
1836986,BA,2019-10-23,BeforeMarket,BA_2019_Q3_20191023
1838000,DHR,2019-10-24,BeforeMarket,DHR_2019_Q3_20191024
1838033,CMCSA,2019-10-24,BeforeMarket,CMCSA_2019_Q3_20191024
1838669,AEP,2019-10-24,BeforeMarket,AEP_2019_Q3_20191024
1839779,VZ,2019-10-25,BeforeMarket,VZ_2019_Q3_20191025
1842189,T,2019-10-28,BeforeMarket,T_2019_Q3_20191028
1843267,SPGI,2019-10-29,BeforeMarket,SPGI_2019_Q3_20191029
1843504,PFE,2019-10-29,BeforeMarket,PFE_2019_Q3_20191029
1844152,AMD,2019-10-29,AfterMarket,AMD_2019_Q3_20191029
1844175,DLR,2019-10-29,AfterMarket,DLR_2019_Q3_20191029
1844724,GE,2019-10-30,BeforeMarket,GE_2019_Q3_20191030
1844804,ADP,2019-10-30,BeforeMarket,ADP_2020_Q1_20191030
1846066,EQIX,2019-10-30,AfterMarket,EQIX_2019_Q3_20191030
1846824,AMT,2019-10-31,BeforeMarket,AMT_2019_Q3_20191031
1850102,D,2019-11-01,BeforeMarket,D_2019_Q3_20191101
1856834,APD,2019-11-07,BeforeMarket,APD_2019_Q4_20191107
1858990,DUK,2019-11-08,BeforeMarket,DUK_2019_Q3_20191108
1887484,AMT,2020-02-25,BeforeMarket,AMT_2019_Q4_20200225
1887505,DLR,2020-02-13,AfterMarket,DLR_2019_Q4_20200213
1887685,EQIX,2020-02-12,AfterMarket,EQIX_2019_Q4_20200212
1887992,APD,2020-01-24,BeforeMarket,APD_2020_Q1_20200124
1889026,TMO,2020-01-30,BeforeMarket,TMO_2019_Q4_20200130
1889139,V,2020-01-30,AfterMarket,V_2020_Q1_20200130
1889666,PFE,2020-01-28,BeforeMarket,PFE_2019_Q4_20200128
1892929,PG,2020-01-23,BeforeMarket,PG_2020_Q2_20200123
1892998,UNP,2020-01-23,BeforeMarket,UNP_2019_Q4_20200123
1893624,AXP,2020-01-24,BeforeMarket,AXP_2019_Q4_20200124
1895388,MA,2020-01-29,BeforeMarket,MA_2019_Q4_20200129
1895471,MPC,2020-01-29,BeforeMarket,MPC_2019_Q4_20200129
1895844,MDLZ,2020-01-29,AfterMarket,MDLZ_2019_Q4_20200129
1896424,MO,2020-01-30,BeforeMarket,MO_2019_Q4_20200130
1897454,HON,2020-01-31,BeforeMarket,HON_2019_Q4_20200131
1897689,PSX,2020-01-31,BeforeMarket,PSX_2019_Q4_20200131
1899237,COP,2020-02-04,BeforeMarket,COP_2019_Q4_20200204
1901368,SPGI,2020-02-06,BeforeMarket,SPGI_2019_Q4_20200206
1901445,PM,2020-02-06,BeforeMarket,PM_2019_Q4_20200206
1909146,DUK,2020-02-13,BeforeMarket,DUK_2019_Q4_20200213
1915558,AEP,2020-02-20,BeforeMarket,AEP_2019_Q4_20200220
1916053,SO,2020-02-20,BeforeMarket,SO_2019_Q4_20200220
1954397,JPM,2020-04-14,BeforeMarket,JPM_2020_Q1_20200414
1955071,BAC,2020-04-15,BeforeMarket,BAC_2020_Q1_20200415
1955133,GS,2020-04-15,BeforeMarket,GS_2020_Q1_20200415
1956182,PG,2020-04-17,BeforeMarket,PG_2020_Q3_20200417
1957158,PM,2020-04-21,BeforeMarket,PM_2020_Q1_20200421
1957922,TMO,2020-04-22,BeforeMarket,TMO_2020_Q1_20200422
1958000,T,2020-04-22,BeforeMarket,T_2020_Q1_20200422
1958813,PFE,2020-04-28,BeforeMarket,PFE_2020_Q1_20200428
1958825,UNP,2020-04-23,BeforeMarket,UNP_2020_Q1_20200423
1959889,VZ,2020-04-24,BeforeMarket,VZ_2020_Q1_20200424
1960017,FCX,2020-04-24,BeforeMarket,FCX_2020_Q1_20200424
1961719,SPGI,2020-04-28,BeforeMarket,SPGI_2020_Q1_20200428
1961832,CAT,2020-04-28,BeforeMarket,CAT_2020_Q1_20200428
1961850,RTX,2020-05-07,BeforeMarket,RTX_2020_Q1_20200507
1962459,MDLZ,2020-04-28,AfterMarket,MDLZ_2020_Q1_20200428
1962495,AMD,2020-04-28,AfterMarket,AMD_2020_Q1_20200428
1963584,BA,2020-04-29,BeforeMarket,BA_2020_Q1_20200429
1963825,GE,2020-04-29,BeforeMarket,GE_2020_Q1_20200429
1964693,TSLA,2020-04-29,AfterMarket,TSLA_2020_Q1_20200429
1966599,MO,2020-04-30,BeforeMarket,MO_2020_Q1_20200430
1967294,V,2020-04-30,AfterMarket,V_2020_Q2_20200430
1967434,SO,2020-04-30,BeforeMarket,SO_2020_Q1_20200430
1967718,MPC,2020-05-05,BeforeMarket,MPC_2020_Q1_20200505
1968343,PSX,2020-05-01,BeforeMarket,PSX_2020_Q1_20200501
1970516,D,2020-05-05,BeforeMarket,D_2020_Q1_20200505
1971027,DHR,2020-05-07,AfterMarket,DHR_2020_Q1_20200507
1974458,EQIX,2020-05-06,AfterMarket,EQIX_2020_Q1_20200506
1980580,DUK,2020-05-12,BeforeMarket,DUK_2020_Q1_20200512
2002421,CRM,2020-05-28,AfterMarket,CRM_2021_Q1_20200528
2032187,D,2020-07-31,BeforeMarket,D_2020_Q2_20200731
2036725,JPM,2020-07-14,BeforeMarket,JPM_2020_Q2_20200714
2037788,GS,2020-07-15,BeforeMarket,GS_2020_Q2_20200715
2041656,PM,2020-07-21,BeforeMarket,PM_2020_Q2_20200721
2042680,TMO,2020-07-22,BeforeMarket,TMO_2020_Q2_20200722
2042687,MA,2020-07-30,BeforeMarket,MA_2020_Q2_20200730
2043283,TSLA,2020-07-22,AfterMarket,TSLA_2020_Q2_20200722
2043946,DHR,2020-07-23,BeforeMarket,DHR_2020_Q2_20200723
2044071,UNP,2020-07-23,BeforeMarket,UNP_2020_Q2_20200723
2044463,FCX,2020-07-23,BeforeMarket,FCX_2020_Q2_20200723
2045596,VZ,2020-07-24,BeforeMarket,VZ_2020_Q2_20200724
2047646,RTX,2020-07-28,BeforeMarket,RTX_2020_Q2_20200728
2047750,MO,2020-07-28,BeforeMarket,MO_2020_Q2_20200728
2047752,SPGI,2020-07-28,BeforeMarket,SPGI_2020_Q2_20200728
2048508,AMD,2020-07-28,AfterMarket,AMD_2020_Q2_20200728
2048536,MDLZ,2020-07-28,AfterMarket,MDLZ_2020_Q2_20200728
2048601,V,2020-07-28,AfterMarket,V_2020_Q3_20200728
2049258,GE,2020-07-29,BeforeMarket,GE_2020_Q2_20200729
2049349,ADP,2020-07-29,BeforeMarket,ADP_2020_Q4_20200729
2049587,BA,2020-07-29,BeforeMarket,BA_2020_Q2_20200729
2050363,EQIX,2020-07-29,AfterMarket,EQIX_2020_Q2_20200729
2051176,PG,2020-07-30,BeforeMarket,PG_2020_Q4_20200730
2051550,CCI,2020-07-30,AfterMarket,CCI_2020_Q2_20200730
2053293,CAT,2020-07-31,BeforeMarket,CAT_2020_Q2_20200731
2053470,XOM,2020-07-31,BeforeMarket,XOM_2020_Q2_20200731
2053706,PSX,2020-07-31,BeforeMarket,PSX_2020_Q2_20200731
2056806,MPC,2020-08-03,BeforeMarket,MPC_2020_Q2_20200803
2067188,DUK,2020-08-10,BeforeMarket,DUK_2020_Q2_20200810
2165532,AMT,2021-02-25,BeforeMarket,AMT_2020_Q4_20210225
2168508,TMO,2021-02-01,BeforeMarket,TMO_2020_Q4_20210201
2169398,PFE,2021-02-02,BeforeMarket,PFE_2020_Q4_20210202
2170317,V,2021-01-28,AfterMarket,V_2021_Q1_20210128
2172976,JPM,2021-01-15,BeforeMarket,JPM_2020_Q4_20210115
2173049,WFC,2021-01-15,BeforeMarket,WFC_2020_Q4_20210115
2174008,COP,2021-02-02,BeforeMarket,COP_2020_Q4_20210202
2176507,PG,2021-01-20,BeforeMarket,PG_2021_Q2_20210120
2177993,UNP,2021-01-21,BeforeMarket,UNP_2020_Q4_20210121
2178303,DUK,2021-02-11,BeforeMarket,DUK_2020_Q4_20210211
2181393,GE,2021-01-26,BeforeMarket,GE_2020_Q4_20210126
2181406,RTX,2021-01-26,BeforeMarket,RTX_2020_Q4_20210126
2181770,AMD,2021-01-26,AfterMarket,AMD_2020_Q4_20210126
2184135,MA,2021-01-28,BeforeMarket,MA_2020_Q4_20210128
2184255,MO,2021-01-28,BeforeMarket,MO_2020_Q4_20210128
2184723,MDLZ,2021-01-28,AfterMarket,MDLZ_2020_Q4_20210128
2185751,CAT,2021-01-29,BeforeMarket,CAT_2020_Q4_20210129
2188411,MPC,2021-02-02,BeforeMarket,MPC_2020_Q4_20210202
2188876,EA,2021-02-02,AfterMarket,EA_2021_Q3_20210202
2191879,APD,2021-02-04,BeforeMarket,APD_2021_Q1_20210204
2191997,PM,2021-02-04,BeforeMarket,PM_2020_Q4_20210204
2200441,SPGI,2021-02-09,BeforeMarket,SPGI_2020_Q4_20210209
2202277,KO,2021-02-10,BeforeMarket,KO_2020_Q4_20210210
2215694,SO,2021-02-18,BeforeMarket,SO_2020_Q4_20210218
2223291,AEP,2021-02-25,BeforeMarket,AEP_2020_Q4_20210225
2224286,CRM,2021-02-25,AfterMarket,CRM_2021_Q4_20210225
2225377,EOG,2021-02-25,AfterMarket,EOG_2020_Q4_20210226
2248053,AMD,2021-04-27,AfterMarket,AMD_2021_Q1_20210427
2250951,JPM,2021-04-14,BeforeMarket,JPM_2021_Q1_20210414
2251011,GS,2021-04-14,BeforeMarket,GS_2021_Q1_20210414
2251026,WFC,2021-04-14,BeforeMarket,WFC_2021_Q1_20210414
2251682,BLK,2021-04-15,BeforeMarket,BLK_2021_Q1_20210415
2253073,KO,2021-04-19,BeforeMarket,KO_2021_Q1_20210419
2253649,AEP,2021-04-22,BeforeMarket,AEP_2021_Q1_20210422
2253665,PG,2021-04-20,BeforeMarket,PG_2021_Q3_20210420
2253708,JNJ,2021-04-20,BeforeMarket,JNJ_2021_Q1_20210420
2253720,PM,2021-04-20,BeforeMarket,PM_2021_Q1_20210420
2253744,ABT,2021-04-20,BeforeMarket,ABT_2021_Q1_20210420
2254387,VZ,2021-04-21,BeforeMarket,VZ_2021_Q1_20210421
2254740,BA,2021-04-28,BeforeMarket,BA_2021_Q1_20210428
2255277,UNP,2021-04-22,BeforeMarket,UNP_2021_Q1_20210422
2255459,CCI,2021-04-22,AfterMarket,CCI_2021_Q1_20210422
2255520,DHR,2021-04-22,BeforeMarket,DHR_2021_Q1_20210422
2257932,RTX,2021-04-27,BeforeMarket,RTX_2021_Q1_20210427
2258465,TSLA,2021-04-26,AfterMarket,TSLA_2021_Q1_20210426
2258860,GE,2021-04-27,BeforeMarket,GE_2021_Q1_20210427
2259810,V,2021-04-27,AfterMarket,V_2021_Q2_20210427
2260417,ADP,2021-04-28,BeforeMarket,ADP_2021_Q3_20210428
2262499,AMT,2021-04-29,BeforeMarket,AMT_2021_Q1_20210429
2262520,MO,2021-04-29,BeforeMarket,MO_2021_Q1_20210429
2262531,MA,2021-04-29,BeforeMarket,MA_2021_Q1_20210429
2263154,SO,2021-04-29,BeforeMarket,SO_2021_Q1_20210429
2263715,DLR,2021-04-29,AfterMarket,DLR_2021_Q1_20210429
2265187,MPC,2021-05-04,BeforeMarket,MPC_2021_Q1_20210504
2265227,PSX,2021-04-30,BeforeMarket,PSX_2021_Q1_20210430
2268286,D,2021-05-04,BeforeMarket,D_2021_Q1_20210504
2278037,APD,2021-05-10,BeforeMarket,APD_2021_Q2_20210510
2280946,EA,2021-05-11,AfterMarket,EA_2021_Q4_20210511
2343913,JPM,2021-07-13,BeforeMarket,JPM_2021_Q2_20210713
2343980,GS,2021-07-13,BeforeMarket,GS_2021_Q2_20210713
2344877,BLK,2021-07-14,BeforeMarket,BLK_2021_Q2_20210714
2344910,BAC,2021-07-14,BeforeMarket,BAC_2021_Q2_20210714
2345027,WFC,2021-07-14,BeforeMarket,WFC_2021_Q2_20210714
2347967,PPG,2021-07-19,AfterMarket,PPG_2021_Q2_20210720
2348044,PM,2021-07-20,BeforeMarket,PM_2021_Q2_20210720
2348568,VZ,2021-07-21,BeforeMarket,VZ_2021_Q2_20210721
2348580,KO,2021-07-21,BeforeMarket,KO_2021_Q2_20210721
2348617,JNJ,2021-07-21,BeforeMarket,JNJ_2021_Q2_20210721
2349200,DHR,2021-07-22,BeforeMarket,DHR_2021_Q2_20210722
2349256,T,2021-07-22,BeforeMarket,T_2021_Q2_20210722
2349300,UNP,2021-07-22,BeforeMarket,UNP_2021_Q2_20210722
2349331,AEP,2021-07-22,BeforeMarket,AEP_2021_Q2_20210722
2349441,FCX,2021-07-22,BeforeMarket,FCX_2021_Q2_20210722
2349538,CCI,2021-07-22,AfterMarket,CCI_2021_Q2_20210722
2349793,MRK,2021-07-29,BeforeMarket,MRK_2021_Q2_20210729
2351062,TSLA,2021-07-26,AfterMarket,TSLA_2021_Q2_20210726
2351411,GE,2021-07-27,BeforeMarket,GE_2021_Q2_20210727
2351452,RTX,2021-07-27,BeforeMarket,RTX_2021_Q2_20210727
2352078,AMD,2021-07-27,AfterMarket,AMD_2021_Q2_20210727
2352096,MDLZ,2021-07-27,AfterMarket,MDLZ_2021_Q2_20210727
2352168,V,2021-07-27,AfterMarket,V_2021_Q3_20210727
2352592,TMO,2021-07-28,BeforeMarket,TMO_2021_Q2_20210728
2352920,BA,2021-07-28,BeforeMarket,BA_2021_Q2_20210728
2353423,EQIX,2021-07-28,AfterMarket,EQIX_2021_Q2_20210728
2354114,MO,2021-07-29,BeforeMarket,MO_2021_Q2_20210729
2354136,SPGI,2021-07-29,BeforeMarket,SPGI_2021_Q2_20210729
2354156,MA,2021-07-29,BeforeMarket,MA_2021_Q2_20210729
2354187,AMT,2021-07-29,BeforeMarket,AMT_2021_Q2_20210729
2354572,SO,2021-07-29,BeforeMarket,SO_2021_Q2_20210729
2355465,DLR,2021-07-29,AfterMarket,DLR_2021_Q2_20210729
2356434,CAT,2021-07-30,BeforeMarket,CAT_2021_Q2_20210730
2356549,PG,2021-07-30,BeforeMarket,PG_2021_Q4_20210730
2360770,LLY,2021-08-03,BeforeMarket,LLY_2021_Q2_20210803
2360926,PSX,2021-08-03,BeforeMarket,PSX_2021_Q2_20210803
2363671,EA,2021-08-04,AfterMarket,EA_2022_Q1_20210804
2364610,DUK,2021-08-05,BeforeMarket,DUK_2021_Q2_20210805
2367196,D,2021-08-06,BeforeMarket,D_2021_Q2_20210806
2386101,CRM,2021-08-25,AfterMarket,CRM_2022_Q2_20210825
2405869,BLK,2021-10-13,BeforeMarket,BLK_2021_Q3_20211013
2405878,JPM,2021-10-13,BeforeMarket,JPM_2021_Q3_20211013
2406276,BAC,2021-10-14,BeforeMarket,BAC_2021_Q3_20211014
2406358,WFC,2021-10-14,BeforeMarket,WFC_2021_Q3_20211014
2406372,APD,2021-11-04,BeforeMarket,APD_2021_Q4_20211104
2407389,PM,2021-10-19,BeforeMarket,PM_2021_Q3_20211019
2407601,BA,2021-10-27,BeforeMarket,BA_2021_Q3_20211027
2407996,VZ,2021-10-20,BeforeMarket,VZ_2021_Q3_20211020
2408741,PPG,2021-10-20,AfterMarket,PPG_2021_Q3_20211021
2408806,T,2021-10-21,BeforeMarket,T_2021_Q3_20211021
2408843,UNP,2021-10-21,BeforeMarket,UNP_2021_Q3_20211021
2409017,CCI,2021-10-21,AfterMarket,CCI_2021_Q3_20211021
2412511,GE,2021-10-26,BeforeMarket,GE_2021_Q3_20211026
2412532,RTX,2021-10-26,BeforeMarket,RTX_2021_Q3_20211026
2413238,V,2021-10-26,AfterMarket,V_2021_Q4_20211026
2413253,DLR,2021-10-26,AfterMarket,DLR_2021_Q3_20211027
2413945,ADP,2021-10-27,BeforeMarket,ADP_2022_Q1_20211027
2415515,MRK,2021-10-28,BeforeMarket,MRK_2021_Q3_20211028
2415530,CAT,2021-10-28,BeforeMarket,CAT_2021_Q3_20211028
2415578,AMT,2021-10-28,BeforeMarket,AMT_2021_Q3_20211028
2415609,AEP,2021-10-28,BeforeMarket,AEP_2021_Q3_20211028
2415626,MA,2021-10-28,BeforeMarket,MA_2021_Q3_20211028
2418365,PSX,2021-10-29,BeforeMarket,PSX_2021_Q3_20211029
2421450,MPC,2021-11-02,BeforeMarket,MPC_2021_Q3_20211102
2425661,SO,2021-11-04,BeforeMarket,SO_2021_Q3_20211104
2452962,CRM,2021-11-30,AfterMarket,CRM_2022_Q3_20211130
