metric,value
total_calls,2688
resolved_calls,2496
rows_total,10752
ok_rows,8513
excluded_rows,2239
calls_with_any_ok,2424
join_rate_pct,97.12
horizon_3_ok,1241
horizon_7_ok,2424
horizon_15_ok,2424
horizon_30_ok,2424
reason:insufficient_post_history,4
reason:invalid_date,220
reason:no_price_data,60
reason:short_window_post,959
reason:short_window_pre,224
reason:unresolved_ticker,768
reason:zero_variance_post,4
