ticker,yahoo_symbol,status,reason,n_rows,first_date,last_date,expected_sessions,completeness,in_fincall,fincall_calls,in_maec,maec_calls
KRC,KRC,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
KRG,KRG,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
KS,KS,ok,,1994,2014-06-02,2022-06-29,2035,0.9799,False,0,True,2
KSS,KSS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,6,True,4
KSU,KSU,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
KWR,KWR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
L,L,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
LABL,LABL,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,5
LAD,LAD,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
LAMR,LAMR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,9
LANC,LANC,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,5
LB,LB,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,4
LCI,LCI,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
LDOS,LDOS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
LECO,LECO,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
LEG,LEG,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,True,2
LEN,LEN,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
LFUS,LFUS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
LGIH,LGIH,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,5
LGND,LGND,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
LH,LH,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,4,True,1
LHCG,LHCG,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,2
LHX,LHX,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,4,False,0
LII,LII,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
LITE,LITE,ok,,1747,2015-07-23,2022-06-29,1747,1.0,False,0,True,1
LIVN,LIVN,ok,,1686,2015-10-19,2022-06-29,1686,1.0,False,0,True,1
LKQ,LKQ,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,9,True,4
LL,LL,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
LLL,LLL,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,4
LLY,LLY,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,8,True,2
LM,LM,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
LMAT,LMAT,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,6
LMNX,LMNX,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
LMT,LMT,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,11,True,3
LNC,LNC,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,1,True,3
LNN,LNN,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
LNT,LNT,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,6,True,2
LNTH,LNTH,ok,,1766,2015-06-25,2022-06-29,1766,1.0,False,0,True,7
LOCO,LOCO,ok,,1997,2014-07-25,2022-06-29,1997,1.0,False,0,True,2
LOGM,LOGM,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,4
LOW,LOW,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,3,True,5
LPNT,LPNT,ok,,1129,2014-06-02,2018-11-21,1130,0.9991,False,0,True,4
LPSN,LPSN,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
LPT,LPT,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
LPX,LPX,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,6,True,2
LQDT,LQDT,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,7
