embedding,n_calls,n_tickers,probe_accuracy,chance,accuracy_over_chance
wavlm,2639,356,0.7626262626262627,0.0028089887640449437,271.49494949494954
emotion2vec,2639,356,0.29419191919191917,0.0028089887640449437,104.73232323232322
