dataset,split,target,horizon,segment,model,condition,n,r2_oos,mse
fincall,combined,dv,30,test,mlp_text_pastvol,within_shuffle,92,-1.611175693502048,0.2795912042867242
fincall,combined,dv,30,test,ridge_pastvol,global_shuffle,92,-0.0003728272665481924,0.10711475455565699
fincall,combined,dv,30,test,ridge_pastvol,real,92,-0.0003728272665481924,0.10711475455565699
fincall,combined,dv,30,test,ridge_pastvol,within_shuffle,92,-0.0003728272665481924,0.10711475455565699
fincall,combined,dv,30,test,ridge_text,global_shuffle,92,-0.18494277766985112,0.1268775513819365
fincall,combined,dv,30,test,ridge_text,real,92,-0.21818241200513033,0.1304366797151919
fincall,combined,dv,30,test,ridge_text,within_shuffle,92,-0.2194408324587458,0.13057142487653858
fincall,combined,dv,30,test,ridge_text_pastvol,global_shuffle,92,-0.15644121312196613,0.12382575108530021
fincall,combined,dv,30,test,ridge_text_pastvol,real,92,-0.19511995574152063,0.12796727103595268
fincall,combined,dv,30,test,ridge_text_pastvol,within_shuffle,92,-0.19595618011964078,0.12805680962254198
fincall,combined,dv,30,test,ticker_only,real,92,0.005415811465702913,0.10649493702351683
fincall,combined,har_resid,3,test,mlp_pastvol,global_shuffle,92,0.008564042511044812,0.6874539372722767
fincall,combined,har_resid,3,test,mlp_pastvol,real,92,0.008564042511044812,0.6874539372722767
fincall,combined,har_resid,3,test,mlp_pastvol,within_shuffle,92,0.008564042511044812,0.6874539372722767
fincall,combined,har_resid,3,test,mlp_text,global_shuffle,92,-0.004611502855418337,0.696589757361781
fincall,combined,har_resid,3,test,mlp_text,real,92,-0.28329259932999107,0.8898250496342367
fincall,combined,har_resid,3,test,mlp_text,within_shuffle,92,-0.2905207123885376,0.8948369666860776
fincall,combined,har_resid,3,test,mlp_text_pastvol,global_shuffle,92,-0.09469360766462431,0.759051984156246
fincall,combined,har_resid,3,test,mlp_text_pastvol,real,92,-0.24363169872353252,0.8623244914068253
fincall,combined,har_resid,3,test,mlp_text_pastvol,within_shuffle,92,-0.2244332440479797,0.8490124331174738
fincall,combined,har_resid,3,test,ridge_pastvol,global_shuffle,92,-0.00020166221861961375,0.6935320083608383
fincall,combined,har_resid,3,test,ridge_pastvol,real,92,-0.00020166221861961375,0.6935320083608383
fincall,combined,har_resid,3,test,ridge_pastvol,within_shuffle,92,-0.00020166221861961375,0.6935320083608383
fincall,combined,har_resid,3,test,ridge_text,global_shuffle,92,0.01735997506826137,0.681354906444552
fincall,combined,har_resid,3,test,ridge_text,real,92,-0.02208905851415799,0.7087085577348549
fincall,combined,har_resid,3,test,ridge_text,within_shuffle,92,-0.01704012134523092,0.7052076641979589
fincall,combined,har_resid,3,test,ridge_text_pastvol,global_shuffle,92,0.01627675004477147,0.6821060062021561
fincall,combined,har_resid,3,test,ridge_text_pastvol,real,92,-0.023011953554981757,0.7093484859366828
fincall,combined,har_resid,3,test,ridge_text_pastvol,within_shuffle,92,-0.018063192126759553,0.7059170534747523
fincall,combined,har_resid,3,test,ticker_only,real,92,3.3306690738754696e-16,0.693392177355979
fincall,combined,har_resid,7,test,mlp_pastvol,global_shuffle,92,-0.012449145894881664,0.2579463563807275
fincall,combined,har_resid,7,test,mlp_pastvol,real,92,-0.012449145894881664,0.2579463563807275
fincall,combined,har_resid,7,test,mlp_pastvol,within_shuffle,92,-0.012449145894881664,0.2579463563807275
fincall,combined,har_resid,7,test,mlp_text,global_shuffle,92,-0.31284912943863463,0.33448065099307805
fincall,combined,har_resid,7,test,mlp_text,real,92,-0.38100723316494345,0.3518456066407827
fincall,combined,har_resid,7,test,mlp_text,within_shuffle,92,-0.3593454955136237,0.34632674544890085
fincall,combined,har_resid,7,test,mlp_text_pastvol,global_shuffle,92,-0.42601300668865427,0.3633119359311061
fincall,combined,har_resid,7,test,mlp_text_pastvol,real,92,-0.3462324969249799,0.34298588608734093
fincall,combined,har_resid,7,test,mlp_text_pastvol,within_shuffle,92,-0.32410612331040034,0.3373486474399076
fincall,combined,har_resid,7,test,ridge_pastvol,global_shuffle,92,0.030547970467164842,0.24699178197524957
fincall,combined,har_resid,7,test,ridge_pastvol,real,92,0.030547970467164842,0.24699178197524957
fincall,combined,har_resid,7,test,ridge_pastvol,within_shuffle,92,0.030547970467164842,0.24699178197524957
fincall,combined,har_resid,7,test,ridge_text,global_shuffle,92,-0.1114406987190093,0.28316689260912703
fincall,combined,har_resid,7,test,ridge_text,real,92,-0.02699229406010195,0.26165158157128054
fincall,combined,har_resid,7,test,ridge_text,within_shuffle,92,-0.013688098538451543,0.2582620100818866
fincall,combined,har_resid,7,test,ridge_text_pastvol,global_shuffle,92,-0.11183817822338837,0.28326816030272556
fincall,combined,har_resid,7,test,ridge_text_pastvol,real,92,-0.02662724371416414,0.26155857600452
