dataset,horizon,run,mse,mse_single,mse_mean,mse_std,mse_best,published_mse,published_std,text_embedding
15,3,0,0.4144764542579651,1.7062336206436155,0.4190041095018387,0.006672711931203615,0.4079570770263672,0.418,0.0123,regenerated_bert_base_pooler
15,3,1,0.4232373237609863,1.6009132862091064,0.4190041095018387,0.006672711931203615,0.4079570770263672,0.418,0.0123,regenerated_bert_base_pooler
15,3,2,0.4221599698066711,1.6447833776474,0.4190041095018387,0.006672711931203615,0.4079570770263672,0.418,0.0123,regenerated_bert_base_pooler
15,3,3,0.4196050763130188,1.6371803283691406,0.4190041095018387,0.006672711931203615,0.4079570770263672,0.418,0.0123,regenerated_bert_base_pooler
15,3,4,0.417201817035675,1.6953213214874268,0.4190041095018387,0.006672711931203615,0.4079570770263672,0.418,0.0123,regenerated_bert_base_pooler
15,3,5,0.4102159440517425,1.6076902151107788,0.4190041095018387,0.006672711931203615,0.4079570770263672,0.418,0.0123,regenerated_bert_base_pooler
15,3,6,0.4297339618206024,1.636478304862976,0.4190041095018387,0.006672711931203615,0.4079570770263672,0.418,0.0123,regenerated_bert_base_pooler
15,3,7,0.4079570770263672,1.581455945968628,0.4190041095018387,0.006672711931203615,0.4079570770263672,0.418,0.0123,regenerated_bert_base_pooler
15,3,8,0.4209070205688476,1.6460977792739868,0.4190041095018387,0.006672711931203615,0.4079570770263672,0.418,0.0123,regenerated_bert_base_pooler
15,3,9,0.4245464503765106,2.1725776195526123,0.4190041095018387,0.006672711931203615,0.4079570770263672,0.418,0.0123,regenerated_bert_base_pooler
15,7,0,0.1843090504407882,1.2446787357330322,0.18539439588785167,0.00216540379311516,0.1825715750455856,0.187,0.0027,regenerated_bert_base_pooler
15,7,1,0.1853186637163162,1.2204214334487915,0.18539439588785167,0.00216540379311516,0.1825715750455856,0.187,0.0027,regenerated_bert_base_pooler
15,7,2,0.1890705078840255,1.2339009046554563,0.18539439588785167,0.00216540379311516,0.1825715750455856,0.187,0.0027,regenerated_bert_base_pooler
15,7,3,0.1825715750455856,1.2684427499771118,0.18539439588785167,0.00216540379311516,0.1825715750455856,0.187,0.0027,regenerated_bert_base_pooler
15,7,4,0.1858780682086944,1.2570441961288452,0.18539439588785167,0.00216540379311516,0.1825715750455856,0.187,0.0027,regenerated_bert_base_pooler
