dataset,anchor,split,target,horizon,model,n,mse,r2_oos
maec,measured,temporal,v,3,har,506,0.6746211396417788,0.6135488839990968
maec,measured,temporal,dv,3,persistence,506,1.7456829899288018,0.0
maec,measured,temporal,dv,3,har,506,0.6746211396417788,0.6135488839990968
maec,measured,temporal,v,7,persistence,506,0.7177666062093012,0.0
maec,measured,temporal,v,7,har,506,0.3654293982263857,0.49087991128995734
maec,measured,temporal,dv,7,persistence,506,0.7177666062093012,0.0
maec,measured,temporal,dv,7,har,506,0.3654293982263857,0.49087991128995734
maec,measured,temporal,v,15,persistence,507,0.36009347114863144,0.0
maec,measured,temporal,v,15,har,507,0.23422594959048457,0.3495412487114882
maec,measured,temporal,dv,15,persistence,507,0.36009347114863144,0.0
maec,measured,temporal,dv,15,har,507,0.23422594959048457,0.3495412487114882
maec,measured,temporal,v,30,persistence,507,0.20086508119562857,0.0
maec,measured,temporal,v,30,har,507,0.1591133318283705,0.20785966937974043
maec,measured,temporal,dv,30,persistence,507,0.20086508119562857,0.0
maec,measured,temporal,dv,30,har,507,0.1591133318283705,0.20785966937974043
maec,fallback,ticker_disjoint,v,3,persistence,514,1.2677528358911943,0.0
maec,fallback,ticker_disjoint,v,3,har,514,0.6674342160117328,0.473529699862556
maec,fallback,ticker_disjoint,dv,3,persistence,514,1.2677528358911943,0.0
maec,fallback,ticker_disjoint,dv,3,har,514,0.6674342160117328,0.473529699862556
maec,fallback,ticker_disjoint,v,7,persistence,514,0.4921959998235566,0.0
maec,fallback,ticker_disjoint,v,7,har,514,0.30570069189651633,0.3789045583342723
maec,fallback,ticker_disjoint,dv,7,persistence,514,0.4921959998235566,0.0
maec,fallback,ticker_disjoint,dv,7,har,514,0.30570069189651633,0.3789045583342723
maec,fallback,ticker_disjoint,v,15,persistence,514,0.30151847513884855,0.0
maec,fallback,ticker_disjoint,v,15,har,514,0.20764144716687558,0.311347515036161
maec,fallback,ticker_disjoint,dv,15,persistence,514,0.30151847513884855,0.0
maec,fallback,ticker_disjoint,dv,15,har,514,0.20764144716687558,0.311347515036161
maec,fallback,ticker_disjoint,v,30,persistence,514,0.1837814684888431,0.0
maec,fallback,ticker_disjoint,v,30,har,514,0.14249842945657046,0.22463113050366568
maec,fallback,ticker_disjoint,dv,30,persistence,514,0.1837814684888431,0.0
maec,fallback,ticker_disjoint,dv,30,har,514,0.14249842945657046,0.22463113050366568
maec,measured,ticker_disjoint,v,3,persistence,514,1.5792564015187125,0.0
maec,measured,ticker_disjoint,v,3,har,514,0.7246917422197373,0.5411183760136555
maec,measured,ticker_disjoint,dv,3,persistence,514,1.5792564015187125,0.0
maec,measured,ticker_disjoint,dv,3,har,514,0.7246917422197373,0.5411183760136555
maec,measured,ticker_disjoint,v,7,persistence,514,0.6054198003850242,0.0
maec,measured,ticker_disjoint,v,7,har,514,0.34258472385821387,0.4341369019639878
maec,measured,ticker_disjoint,dv,7,persistence,514,0.6054198003850242,0.0
maec,measured,ticker_disjoint,dv,7,har,514,0.34258472385821387,0.4341369019639878
maec,measured,ticker_disjoint,v,15,persistence,514,0.3187262645929387,0.0
maec,measured,ticker_disjoint,v,15,har,514,0.22837342240996295,0.28348100618055394
maec,measured,ticker_disjoint,dv,15,persistence,514,0.3187262645929387,0.0
maec,measured,ticker_disjoint,dv,15,har,514,0.22837342240996295,0.28348100618055394
maec,measured,ticker_disjoint,v,30,persistence,514,0.18294042800767527,0.0
maec,measured,ticker_disjoint,v,30,har,514,0.15558944460037852,0.14950759493221055
maec,measured,ticker_disjoint,dv,30,persistence,514,0.18294042800767527,0.0
maec,measured,ticker_disjoint,dv,30,har,514,0.15558944460037852,0.14950759493221055
earnings25,shift,,,30,as_of_moved_share,475,,0.27578947368421053
earnings25,fallback,ticker_disjoint,v,3,persistence,95,1.8888785336937928,0.0
earnings25,fallback,ticker_disjoint,v,3,har,95,0.8237698654444963,0.563884150965719
earnings25,fallback,ticker_disjoint,dv,3,persistence,95,1.8888785336937928,0.0
earnings25,fallback,ticker_disjoint,dv,3,har,95,0.8237698654444963,0.563884150965719
earnings25,fallback,ticker_disjoint,v,7,persistence,95,0.6231798182355816,0.0
earnings25,fallback,ticker_disjoint,v,7,har,95,0.3234888316880839,0.48090611694713936
earnings25,fallback,ticker_disjoint,dv,7,persistence,95,0.6231798182355816,0.0
earnings25,fallback,ticker_disjoint,dv,7,har,95,0.3234888316880839,0.48090611694713936
earnings25,fallback,ticker_disjoint,v,15,persistence,95,0.22935866153805512,0.0
earnings25,fallback,ticker_disjoint,v,15,har,95,0.18210274340992846,0.20603502745975855
earnings25,fallback,ticker_disjoint,dv,15,persistence,95,0.22935866153805512,0.0
earnings25,fallback,ticker_disjoint,dv,15,har,95,0.18210274340992846,0.20603502745975855
earnings25,fallback,ticker_disjoint,v,30,persistence,95,0.10954299492900316,0.0
earnings25,fallback,ticker_disjoint,v,30,har,95,0.10725104390161198,0.02092284430306679
earnings25,fallback,ticker_disjoint,dv,30,persistence,95,0.10954299492900316,0.0
earnings25,fallback,ticker_disjoint,dv,30,har,95,0.10725104390161198,0.02092284430306679
earnings25,measured,ticker_disjoint,v,3,persistence,95,1.7469757364400624,0.0
earnings25,measured,ticker_disjoint,v,3,har,95,0.6363963391020075,0.6357154104504978
earnings25,measured,ticker_disjoint,dv,3,persistence,95,1.7469757364400624,0.0
earnings25,measured,ticker_disjoint,dv,3,har,95,0.6363963391020075,0.6357154104504978
earnings25,measured,ticker_disjoint,v,7,persistence,95,0.660472268522905,0.0
earnings25,measured,ticker_disjoint,v,7,har,95,0.30120724491642187,0.5439517156563614
earnings25,measured,ticker_disjoint,dv,7,persistence,95,0.660472268522905,0.0
earnings25,measured,ticker_disjoint,dv,7,har,95,0.30120724491642187,0.5439517156563614
earnings25,measured,ticker_disjoint,v,15,persistence,95,0.23238665924506927,0.0
earnings25,measured,ticker_disjoint,v,15,har,95,0.1667003764169134,0.2826594394082008
earnings25,measured,ticker_disjoint,dv,15,persistence,95,0.23238665924506927,0.0
earnings25,measured,ticker_disjoint,dv,15,har,95,0.1667003764169134,0.2826594394082008
earnings25,measured,ticker_disjoint,v,30,persistence,95,0.11534632304524967,0.0
earnings25,measured,ticker_disjoint,v,30,har,95,0.10126935321665424,0.12204090652350585
earnings25,measured,ticker_disjoint,dv,30,persistence,95,0.11534632304524967,0.0
earnings25,measured,ticker_disjoint,dv,30,har,95,0.10126935321665424,0.12204090652350585
