model,model_id,window,year,quarter,mse,n_test,embedding,published_mse,abs_diff
TMLP,mTMLP_dDEC_e(DEC),15,2022,fourth,0.191083,90,DEC,0.189141,0.0019419999999999993
TMLP,mTMLP_dDEC_e(DEC),15,2022,second,0.277223,90,DEC,0.225901,0.051322000000000007
TMLP,mTMLP_dDEC_e(DEC),15,2022,third,0.124483,90,DEC,0.127085,0.002602000000000007
TMLP,mTMLP_dDEC_e(DEC),15,2023,first,0.137031,90,DEC,0.137995,0.0009640000000000204
TMLP,mTMLP_dDEC_e(DEC),15,2023,fourth,0.12355,90,DEC,0.121738,0.0018119999999999942
TMLP,mTMLP_dDEC_e(DEC),15,2023,second,0.152837,90,DEC,0.140706,0.012131000000000003
TMLP,mTMLP_dDEC_e(DEC),15,2023,third,0.133488,90,DEC,0.132857,0.0006309999999999927
TMLP,mTMLP_dDEC_e(DEC),30,2019,fourth,0.156784,90,DEC,0.203036,0.04625199999999999
TMLP,mTMLP_dDEC_e(DEC),30,2019,second,0.13129,90,DEC,0.11868,0.012609999999999996
TMLP,mTMLP_dDEC_e(DEC),30,2019,third,0.122596,90,DEC,0.130833,0.008237000000000008
TMLP,mTMLP_dDEC_e(DEC),30,2020,first,1.288816,90,DEC,1.314913,0.026097000000000037
TMLP,mTMLP_dDEC_e(DEC),30,2020,fourth,0.192804,90,DEC,0.2,0.007196000000000008
TMLP,mTMLP_dDEC_e(DEC),30,2020,second,0.177041,90,DEC,0.186428,0.009387000000000006
TMLP,mTMLP_dDEC_e(DEC),30,2020,third,0.245154,90,DEC,0.198238,0.04691600000000001
TMLP,mTMLP_dDEC_e(DEC),30,2021,first,0.103528,90,DEC,0.091998,0.011529999999999999
TMLP,mTMLP_dDEC_e(DEC),30,2021,fourth,0.097885,90,DEC,0.098265,0.00038000000000000533
TMLP,mTMLP_dDEC_e(DEC),30,2021,second,0.151309,90,DEC,0.204981,0.053672
TMLP,mTMLP_dDEC_e(DEC),30,2021,third,0.219546,90,DEC,0.213829,0.005717
TMLP,mTMLP_dDEC_e(DEC),30,2022,first,0.117657,90,DEC,0.097664,0.019992999999999997
TMLP,mTMLP_dDEC_e(DEC),30,2022,fourth,0.110326,90,DEC,0.112774,0.0024480000000000057
TMLP,mTMLP_dDEC_e(DEC),30,2022,second,0.202978,90,DEC,0.205362,0.0023839999999999972
TMLP,mTMLP_dDEC_e(DEC),30,2022,third,0.081299,90,DEC,0.085873,0.004574000000000009
TMLP,mTMLP_dDEC_e(DEC),30,2023,first,0.125742,90,DEC,0.12784,0.0020980000000000165
TMLP,mTMLP_dDEC_e(DEC),30,2023,fourth,0.092871,90,DEC,0.0981,0.005229000000000011
TMLP,mTMLP_dDEC_e(DEC),30,2023,second,0.106475,90,DEC,0.094485,0.01199
TMLP,mTMLP_dDEC_e(DEC),30,2023,third,0.105955,90,DEC,0.103549,0.0024059999999999915
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2019,fourth,0.40717,90,DECRandomTicker,0.407056,0.00011400000000000299
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2019,second,0.71112,90,DECRandomTicker,0.674098,0.037022
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2019,third,0.610698,90,DECRandomTicker,0.580086,0.030611999999999973
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2020,first,0.732476,90,DECRandomTicker,0.750905,0.01842900000000003
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2020,fourth,0.529366,90,DECRandomTicker,0.549916,0.020549999999999957
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2020,second,0.636776,90,DECRandomTicker,0.632273,0.004503000000000035
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2020,third,0.699292,90,DECRandomTicker,0.694967,0.004325000000000023
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2021,first,0.406625,90,DECRandomTicker,0.386325,0.02030000000000004
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2021,fourth,0.549432,90,DECRandomTicker,0.520775,0.028657000000000044
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2021,second,0.454953,90,DECRandomTicker,0.432666,0.022287
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2021,third,0.508383,90,DECRandomTicker,0.539357,0.030973999999999946
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2022,first,0.57984,90,DECRandomTicker,0.564692,0.01514800000000005
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2022,fourth,0.601579,90,DECRandomTicker,0.586583,0.01499600000000001
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2022,second,0.659755,90,DECRandomTicker,0.633174,0.026580999999999966
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2022,third,0.609104,90,DECRandomTicker,0.598731,0.010372999999999966
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2023,first,0.623415,90,DECRandomTicker,0.627465,0.004049999999999998
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2023,fourth,0.524164,90,DECRandomTicker,0.504957,0.019206999999999974
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2023,second,0.595589,90,DECRandomTicker,0.619092,0.02350299999999994
TMLP,mTMLP_dDEC_e(DECRandomTicker),3,2023,third,0.425507,90,DECRandomTicker,0.429877,0.004369999999999985
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2019,fourth,0.21908,90,DECRandomTicker,0.230489,0.011409000000000002
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2019,second,0.366049,90,DECRandomTicker,0.299219,0.06683
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2019,third,0.296976,90,DECRandomTicker,0.341111,0.04413499999999998
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2020,first,0.546252,90,DECRandomTicker,0.525048,0.021204
TMLP,mTMLP_dDEC_e(DECRandomTicker),7,2020,fourth,0.294143,90,DECRandomTicker,0.290093,0.004049999999999998
