dataset,n_calls,n_tickers,probe_accuracy,chance,accuracy_over_chance
fincall,2656,357,0.8946047678795483,0.0028011204481792717,319.37390213299875
maec,3132,902,0.5393617021276595,0.0011086474501108647,486.5042553191489
