dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_stage1,dm_p_vs_stage2,dm_p_vs_stage3
fincall,combined,har_resid,15,stack_fusion,val,21,0.0832051098535313,0.22905064849752718,0.4051345296345752,0.46917293233082696,,0.10112047878297008,0.053500523794545854,0.10288503135725995,0.06774571263840178
fincall,combined,har_resid,15,stack_fusion_pastvol,test,92,0.23692336081113,0.3891126829189368,-0.4932685647420727,-0.07529015235858408,,0.0002474784730299102,0.6787802718631718,0.00023884841001661986,0.0005450876210024568
fincall,combined,har_resid,15,stack_fusion_pastvol,val,21,0.0832051098535313,0.22905064849752718,0.4051345296345752,0.46917293233082696,,0.10112047878297008,0.053500523794545854,0.10288503135725995,0.06774571263840178
fincall,combined,har_resid,30,gated_fusion,test,92,0.2511186349453723,0.39643696444231064,-0.969751374078857,0.016730594234063867,0.06706935108742915,0.0003198905366115411,0.18179093633823867,0.00038647480427878543,0.0002708417682544427
fincall,combined,har_resid,30,gated_fusion,val,21,0.15396835752317783,0.3274921726859568,-0.6701834240884841,0.16240601503759397,0.06706935108742915,0.08258555284963638,0.7570743072744784,0.07156561335936279,0.20053275926203573
fincall,combined,har_resid,30,gated_fusion_pastvol,test,92,0.2655686101917323,0.43281812191808,-1.0830956450172318,-0.03894688546925123,0.08562483905922474,3.4739627627253147e-06,0.030323881787183267,1.0264488865410998e-05,5.8947593237710895e-06
fincall,combined,har_resid,30,gated_fusion_pastvol,val,21,0.2006199740079018,0.36100054364090345,-1.176240368600539,0.016541353383458645,0.08562483905922474,0.05614626623610352,0.24052099194761523,0.040073706427459686,0.10022211580747414
fincall,combined,har_resid,30,stack_fusion,test,92,0.12859945202269965,0.28180324046293376,-0.008722221600977242,-0.09983147523982372,,0.926043634693574,0.002885743624614589,0.7874687161735188,0.9647401276620237
fincall,combined,har_resid,30,stack_fusion,val,21,0.08039814775400882,0.21993836469281094,0.1278750006412952,0.28872180451127816,,0.3378695726184272,0.06159721793928974,0.31766639280500747,0.10758365290124977
fincall,combined,har_resid,30,stack_fusion_pastvol,test,92,0.12859945202269965,0.28180324046293376,-0.008722221600977242,-0.09983147523982372,,0.926043634693574,0.002885743624614589,0.7874687161735188,0.9647401276620237
fincall,combined,har_resid,30,stack_fusion_pastvol,val,21,0.08039814775400882,0.21993836469281094,0.1278750006412952,0.28872180451127816,,0.3378695726184272,0.06159721793928974,0.31766639280500747,0.10758365290124977
fincall,combined,v,3,gated_fusion,test,92,1.6885100644664153,0.9721781776631994,-0.5766366711566,0.060999989832593665,0.3155502616695417,0.052602997344905464,0.00623214674306001,0.0010727502519726948,0.00036483056083414504
fincall,combined,v,3,gated_fusion,val,21,1.7474699800033668,1.0521462317944714,-0.6387474874167822,-0.23458646616541348,0.3155502616695417,0.07935361468205193,0.014305020801370865,0.0038726326229962184,0.0050258046989051465
fincall,combined,v,3,gated_fusion_pastvol,test,92,1.413057278903117,0.8887899248563582,-0.3194341989708207,0.1154019684098685,0.2321803054085976,0.1770157480065815,0.019137785768331653,0.0023354743942672735,0.0006962116791129838
fincall,combined,v,3,gated_fusion_pastvol,val,21,1.4077159574918883,0.8763258792350809,-0.3201319706401462,-0.13383458646616542,0.2321803054085976,0.343990397664207,0.06276026879041888,0.019678401789566567,0.02493168557124469
