model,model_id,window,year,quarter,mse,n_test,embedding,published_mse,abs_diff
TSMixer,mTSMixer_dDEC_seq22,15,2023,fourth,0.136733,90,,0.136885,0.00015200000000001324
TSMixer,mTSMixer_dDEC_seq22,15,2023,second,0.14169,90,,0.141723,3.299999999997749e-05
TSMixer,mTSMixer_dDEC_seq22,15,2023,third,0.121643,90,,0.121664,2.0999999999993246e-05
TSMixer,mTSMixer_dDEC_seq22,30,2019,fourth,0.129831,90,,0.129831,0.0
TSMixer,mTSMixer_dDEC_seq22,30,2019,second,0.594764,90,,0.594765,1.0000000000287557e-06
TSMixer,mTSMixer_dDEC_seq22,30,2019,third,0.076246,90,,0.076246,0.0
TSMixer,mTSMixer_dDEC_seq22,30,2020,first,1.95651,90,,1.956467,4.300000000001525e-05
TSMixer,mTSMixer_dDEC_seq22,30,2020,fourth,0.146568,90,,0.146567,1.000000000001e-06
TSMixer,mTSMixer_dDEC_seq22,30,2020,second,0.593704,90,,0.593704,0.0
TSMixer,mTSMixer_dDEC_seq22,30,2020,third,0.211189,90,,0.211203,1.4000000000014001e-05
TSMixer,mTSMixer_dDEC_seq22,30,2021,first,0.053185,90,,0.053236,5.099999999999549e-05
TSMixer,mTSMixer_dDEC_seq22,30,2021,fourth,0.08696,90,,0.087189,0.00022900000000000698
TSMixer,mTSMixer_dDEC_seq22,30,2021,second,0.19907,90,,0.199063,7.000000000007001e-06
TSMixer,mTSMixer_dDEC_seq22,30,2021,third,0.140495,90,,0.140232,0.0002630000000000132
TSMixer,mTSMixer_dDEC_seq22,30,2022,first,0.089787,90,,0.089769,1.8000000000004124e-05
TSMixer,mTSMixer_dDEC_seq22,30,2022,fourth,0.079045,90,,0.07901,3.500000000000725e-05
TSMixer,mTSMixer_dDEC_seq22,30,2022,second,0.081859,90,,0.080041,0.0018180000000000002
TSMixer,mTSMixer_dDEC_seq22,30,2022,third,0.099862,90,,0.10014,0.00027800000000000047
TSMixer,mTSMixer_dDEC_seq22,30,2023,first,0.064593,90,,0.064201,0.00039200000000000346
TSMixer,mTSMixer_dDEC_seq22,30,2023,fourth,0.09267,90,,0.091397,0.0012729999999999964
TSMixer,mTSMixer_dDEC_seq22,30,2023,second,0.088782,90,,0.087615,0.0011670000000000014
TSMixer,mTSMixer_dDEC_seq22,30,2023,third,0.090811,90,,0.090361,0.00045000000000000595
