model_id,window,year,quarter,mse,model,condition,n_test,persistence_mse
mTMLP_dDEC_anchor_heldout_e(DEC),15,2021,first,0.129485,TMLP,anchor_heldout,30,0.13897722607130703
mTMLP_dDEC_anchor_heldout_e(DEC),15,2021,fourth,0.138799,TMLP,anchor_heldout,30,0.25567613045868254
mTMLP_dDEC_anchor_heldout_e(DEC),15,2021,second,0.133554,TMLP,anchor_heldout,30,0.2572687884311469
mTMLP_dDEC_anchor_heldout_e(DEC),15,2021,third,0.404032,TMLP,anchor_heldout,30,0.1308200170371857
mTMLP_dDEC_anchor_heldout_e(DEC),15,2022,first,0.259413,TMLP,anchor_heldout,30,0.28279940801704756
mTMLP_dDEC_anchor_heldout_e(DEC),15,2022,fourth,0.212006,TMLP,anchor_heldout,30,0.1400284023381638
mTMLP_dDEC_anchor_heldout_e(DEC),15,2022,second,0.285081,TMLP,anchor_heldout,30,0.18170174314641524
mTMLP_dDEC_anchor_heldout_e(DEC),15,2022,third,0.104796,TMLP,anchor_heldout,30,0.12478944071626612
mTMLP_dDEC_anchor_heldout_e(DEC),15,2023,first,0.147029,TMLP,anchor_heldout,30,0.144379976572873
mTMLP_dDEC_anchor_heldout_e(DEC),15,2023,fourth,0.076629,TMLP,anchor_heldout,30,0.1688737282985178
mTMLP_dDEC_anchor_heldout_e(DEC),15,2023,second,0.077463,TMLP,anchor_heldout,30,0.24820015289831415
mTMLP_dDEC_anchor_heldout_e(DEC),15,2023,third,0.103607,TMLP,anchor_heldout,30,0.26748543124016194
mTMLP_dDEC_anchor_heldout_e(DEC),30,2019,fourth,0.207783,TMLP,anchor_heldout,30,0.11162225938827307
mTMLP_dDEC_anchor_heldout_e(DEC),30,2019,second,0.189238,TMLP,anchor_heldout,30,0.12905123816820338
mTMLP_dDEC_anchor_heldout_e(DEC),30,2019,third,0.161784,TMLP,anchor_heldout,30,0.21526724052270022
mTMLP_dDEC_anchor_heldout_e(DEC),30,2020,first,1.448193,TMLP,anchor_heldout,30,1.9066213922518753
mTMLP_dDEC_anchor_heldout_e(DEC),30,2020,fourth,0.17435,TMLP,anchor_heldout,30,0.15512960982519397
mTMLP_dDEC_anchor_heldout_e(DEC),30,2020,second,0.203771,TMLP,anchor_heldout,30,0.5168782261612277
mTMLP_dDEC_anchor_heldout_e(DEC),30,2020,third,0.169591,TMLP,anchor_heldout,30,0.1359070999448399
mTMLP_dDEC_anchor_heldout_e(DEC),30,2021,first,0.121389,TMLP,anchor_heldout,30,0.05843771247212996
mTMLP_dDEC_anchor_heldout_e(DEC),30,2021,fourth,0.088354,TMLP,anchor_heldout,30,0.10857478723634419
mTMLP_dDEC_anchor_heldout_e(DEC),30,2021,second,0.117114,TMLP,anchor_heldout,30,0.08299176646797352
mTMLP_dDEC_anchor_heldout_e(DEC),30,2021,third,0.23305,TMLP,anchor_heldout,30,0.06399098975590496
mTMLP_dDEC_anchor_heldout_e(DEC),30,2022,first,0.166592,TMLP,anchor_heldout,30,0.17387695131190614
mTMLP_dDEC_anchor_heldout_e(DEC),30,2022,fourth,0.116735,TMLP,anchor_heldout,30,0.07605072421334151
mTMLP_dDEC_anchor_heldout_e(DEC),30,2022,second,0.213605,TMLP,anchor_heldout,30,0.09393982540897959
mTMLP_dDEC_anchor_heldout_e(DEC),30,2022,third,0.054832,TMLP,anchor_heldout,30,0.07961688149938456
mTMLP_dDEC_anchor_heldout_e(DEC),30,2023,first,0.117093,TMLP,anchor_heldout,30,0.0798446629956459
mTMLP_dDEC_anchor_heldout_e(DEC),30,2023,fourth,0.056267,TMLP,anchor_heldout,30,0.06937849083279297
mTMLP_dDEC_anchor_heldout_e(DEC),30,2023,second,0.076373,TMLP,anchor_heldout,30,0.09375882332373772
mTMLP_dDEC_anchor_heldout_e(DEC),30,2023,third,0.086152,TMLP,anchor_heldout,30,0.09894512069293195
mTMLP_dDEC_embargoed_e(DEC),3,2019,fourth,0.48481,TMLP,embargoed,90,1.1230661420751544
mTMLP_dDEC_embargoed_e(DEC),3,2019,second,0.602721,TMLP,embargoed,90,1.5689897961264547
mTMLP_dDEC_embargoed_e(DEC),3,2019,third,0.572969,TMLP,embargoed,90,1.1770880462848783
mTMLP_dDEC_embargoed_e(DEC),3,2020,first,0.718674,TMLP,embargoed,90,1.2860085579614675
mTMLP_dDEC_embargoed_e(DEC),3,2020,fourth,0.580795,TMLP,embargoed,90,0.9359101624397472
mTMLP_dDEC_embargoed_e(DEC),3,2020,second,0.679926,TMLP,embargoed,90,0.7444355655197964
mTMLP_dDEC_embargoed_e(DEC),3,2020,third,0.762009,TMLP,embargoed,90,1.0877853269598294
mTMLP_dDEC_embargoed_e(DEC),3,2021,first,0.399697,TMLP,embargoed,90,0.8494675802274431
