dataset,condition,horizon,run,mse,mse_single,n_train,n_dev,n_test,persistence_mse,repeats,text_embedding
15,anchor_heldout,3,0,0.4357981085777282,2.2928290367126465,535,76,48,0.8426045245543786,3,regenerated_bert_base_pooler
15,anchor_heldout,3,1,0.4614514410495758,2.198768138885498,535,76,48,0.8426045245543786,3,regenerated_bert_base_pooler
15,anchor_heldout,3,2,0.5133262276649475,2.206131935119629,535,76,48,0.8426045245543786,3,regenerated_bert_base_pooler
15,anchor_heldout,7,0,0.1911006569862365,0.8465369939804077,535,76,48,0.3376258787539858,3,regenerated_bert_base_pooler
15,anchor_heldout,7,1,0.1945676803588867,0.8734458684921265,535,76,48,0.3376258787539858,3,regenerated_bert_base_pooler
15,anchor_heldout,7,2,0.190528467297554,0.8728921413421631,535,76,48,0.3376258787539858,3,regenerated_bert_base_pooler
15,anchor_heldout,15,0,0.1394222974777221,1.7490440607070925,535,76,48,0.17802997713454005,3,regenerated_bert_base_pooler
15,anchor_heldout,15,1,0.1418288946151733,1.2167214155197144,535,76,48,0.17802997713454005,3,regenerated_bert_base_pooler
15,anchor_heldout,15,2,0.1545644700527191,1.4956715106964111,535,76,48,0.17802997713454005,3,regenerated_bert_base_pooler
15,anchor_heldout,30,0,0.1050382554531097,1.646787405014038,535,76,48,0.13864280963115125,3,regenerated_bert_base_pooler
15,anchor_heldout,30,1,0.1038570255041122,1.7126375436782837,535,76,48,0.13864280963115125,3,regenerated_bert_base_pooler
15,anchor_heldout,30,2,0.1343662738800048,1.6636015176773071,535,76,48,0.13864280963115125,3,regenerated_bert_base_pooler
15,embargoed,3,0,0.4243406355381012,1.633395791053772,272,60,154,0.6601777996184698,3,regenerated_bert_base_pooler
15,embargoed,3,1,0.4158749282360077,1.6077711582183838,272,60,154,0.6601777996184698,3,regenerated_bert_base_pooler
15,embargoed,3,2,0.4823313653469085,1.9619308710098269,272,60,154,0.6601777996184698,3,regenerated_bert_base_pooler
15,embargoed,7,0,0.2334768325090408,1.302830457687378,272,60,154,0.2645078389450434,3,regenerated_bert_base_pooler
15,embargoed,7,1,0.1958978921175003,1.2504280805587769,272,60,154,0.2645078389450434,3,regenerated_bert_base_pooler
15,embargoed,7,2,0.2604882717132568,1.3937777280807495,272,60,154,0.2645078389450434,3,regenerated_bert_base_pooler
15,embargoed,15,0,0.2224630564451217,1.306393265724182,272,60,154,0.16182198196165065,3,regenerated_bert_base_pooler
15,embargoed,15,1,0.3083944022655487,1.8195513486862185,272,60,154,0.16182198196165065,3,regenerated_bert_base_pooler
15,embargoed,15,2,0.2587635517120361,2.8312108516693115,272,60,154,0.16182198196165065,3,regenerated_bert_base_pooler
15,embargoed,30,0,0.1200598254799842,1.564567804336548,272,60,154,0.16749513281486836,3,regenerated_bert_base_pooler
15,embargoed,30,1,0.0836463347077369,1.5543581247329712,272,60,154,0.16749513281486836,3,regenerated_bert_base_pooler
15,embargoed,30,2,0.0916872471570968,1.8150169849395752,272,60,154,0.16749513281486836,3,regenerated_bert_base_pooler
15,ticker_disjoint,3,0,0.4353318214416504,2.422783851623535,353,48,48,0.8426045245543786,3,regenerated_bert_base_pooler
15,ticker_disjoint,3,1,0.4368694126605987,2.37734317779541,353,48,48,0.8426045245543786,3,regenerated_bert_base_pooler
15,ticker_disjoint,3,2,0.5030039548873901,2.060574531555176,353,48,48,0.8426045245543786,3,regenerated_bert_base_pooler
15,ticker_disjoint,7,0,0.2174152731895446,0.8265576362609863,353,48,48,0.3376258787539858,3,regenerated_bert_base_pooler
15,ticker_disjoint,7,1,0.1946026384830474,0.8848296403884888,353,48,48,0.3376258787539858,3,regenerated_bert_base_pooler
15,ticker_disjoint,7,2,0.1850845217704773,0.9431243538856506,353,48,48,0.3376258787539858,3,regenerated_bert_base_pooler
15,ticker_disjoint,15,0,0.145692303776741,1.7853808403015137,353,48,48,0.17802997713454005,3,regenerated_bert_base_pooler
15,ticker_disjoint,15,1,0.138116180896759,1.1966902017593384,353,48,48,0.17802997713454005,3,regenerated_bert_base_pooler
15,ticker_disjoint,15,2,0.1655099689960479,1.6225619316101074,353,48,48,0.17802997713454005,3,regenerated_bert_base_pooler
15,ticker_disjoint,30,0,0.1000000312924385,1.616376876831055,353,48,48,0.13864280963115125,3,regenerated_bert_base_pooler
15,ticker_disjoint,30,1,0.1060193926095962,1.6740580797195437,353,48,48,0.13864280963115125,3,regenerated_bert_base_pooler
15,ticker_disjoint,30,2,0.1316481828689575,1.6481616497039795,353,48,48,0.13864280963115125,3,regenerated_bert_base_pooler
