horizon,check,metric,value,n,note
15,significance,dm_p_vs_ticker_only,0.9464494069915518,120.0,+ve stat ⇒ model worse
15,significance,dm_stat_vs_ticker_only,-0.06730807444433748,120.0,
15,significance,dm_p_vs_train_mean,0.9464494069915518,120.0,+ve stat ⇒ model worse
15,significance,dm_stat_vs_train_mean,-0.06730807444433748,120.0,
15,significance,sqerr_diff_vs_ticker_only_mean,-0.0013425473713253625,120.0,model − ticker-only; <0 = model better
15,significance,sqerr_diff_vs_ticker_only_ci_lo,-0.05174919290126478,120.0,ticker-clustered 95% bootstrap
15,significance,sqerr_diff_vs_ticker_only_ci_hi,0.052988506784646616,120.0,
30,split_integrity,n_train,485.0,,
30,split_integrity,n_val,235.0,,
30,split_integrity,n_test,120.0,,
30,split_integrity,test_calls_ticker_in_fit_pct,0.0,120.0,
30,split_integrity,test_tickers_in_fit_pct,0.0,30.0,
30,split_integrity,gap_business_days,19.0,,last train/val call → first test call; negative = interleaved
30,split_integrity,fit_windows_reaching_test,5.0,720.0,train/val calls whose horizon-session window reaches the first test call
30,floors,mse_model,0.20475923055227685,120.0,
30,floors,mse_persistence,0.10587106523656821,120.0,
30,floors,r2_oos_vs_persistence,-0.9340433582560417,120.0,
30,floors,mse_ticker_only,0.1941256125369394,120.0,
30,floors,r2_oos_vs_ticker_only,-0.054776996586753945,120.0,
30,floors,mse_train_mean,0.1941256125369394,120.0,
30,floors,r2_oos_vs_train_mean,-0.054776996586753945,120.0,
30,seen_vs_unseen,mse_seen_ticker,,0.0,
30,seen_vs_unseen,mse_unseen_ticker,0.20475923055227685,120.0,
30,prediction_shuffle,n_shufflable,120.0,120.0,
30,prediction_shuffle,mse_real,0.20475923055227685,120.0,
30,prediction_shuffle,mse_within_ticker_swap,0.19947049212413753,120.0,mean of 50
30,prediction_shuffle,mse_other_ticker_swap,0.2147618406392998,120.0,mean of 50
30,prediction_shuffle,within_swap_change_pct,-2.5829059885967176,,
30,prediction_shuffle,other_swap_change_pct,4.8850594232279,,
30,identity_share,ticker_variance_share_y_pred,0.7377473870191898,120.0,tickers with ≥2 test calls
30,identity_share,ticker_variance_share_y_true,0.7262304191277519,120.0,tickers with ≥2 test calls
30,significance,dm_p_vs_persistence,0.0028250956652796757,120.0,+ve stat ⇒ model worse
30,significance,dm_stat_vs_persistence,3.04958013344116,120.0,
30,significance,dm_p_vs_ticker_only,0.4747592814795067,120.0,+ve stat ⇒ model worse
30,significance,dm_stat_vs_ticker_only,0.7170321624132718,120.0,
30,significance,dm_p_vs_train_mean,0.4747592814795067,120.0,+ve stat ⇒ model worse
30,significance,dm_stat_vs_train_mean,0.7170321624132718,120.0,
30,significance,sqerr_diff_vs_ticker_only_mean,0.010633618015337454,120.0,model − ticker-only; <0 = model better
30,significance,sqerr_diff_vs_ticker_only_ci_lo,-0.028393160347633135,120.0,ticker-clustered 95% bootstrap
30,significance,sqerr_diff_vs_ticker_only_ci_hi,0.05161215390429878,120.0,
